プール,部位,名称,対象,帯,帯開始,帯終了,ATK,HP,MP,STR,DEX,VIT,AGI,INT,MND,特殊効果,効果量,効果ID,備考
ドロップ,武器,ブラスアクス,戦士,3,101,150,9,,,4,,,,,,,,,
ドロップ,武器,ブラスナックル,モンク,3,101,150,6,,,3,,2,,,,,,,
ドロップ,武器,ブラスポール,白魔道士,3,101,150,4,,,,,,,,6,,,,
ドロップ,武器,ブラスロッド,黒魔道士,3,101,150,3,,,,,,,6,,,,,
ドロップ,武器,ブラスソード,赤魔道士,3,101,150,7,,,2,,,,2,2,,,,
ドロップ,武器,ブラスダガー,シーフ,3,101,150,6,,,,4,,2,,,,,,
ドロップ,鎧,ブラスメイル,重量,3,101,150,,70,,,,5,,,,,,,
ドロップ,脚,ブラスサブリガ,重量,3,101,150,,40,,,,3,,,,,,,
ドロップ,鎧,ブラスローブ,魔道士,3,101,150,,35,15,,,,,2,2,,,,
ドロップ,脚,ブラススロップス,魔道士,3,101,150,,20,10,,,,2,,2,,,,
ドロップ,鎧,ブラスベスト,軽量,3,101,150,,50,,,2,4,,,,,,,
ドロップ,脚,ブラストラウザ,軽量,3,101,150,,30,,,2,,3,,,,,,
ドロップ,アクセサリ,ブラスリング,全ジョブ,3,101,150,,20,10,2,2,2,2,2,2,,,,
ドロップ,武器,カッパーアクス,戦士,4,151,200,9,,,4,,,,,,,,,
ドロップ,武器,カッパーナックル,モンク,4,151,200,6,,,3,,2,,,,,,,
ドロップ,武器,カッパーポール,白魔道士,4,151,200,4,,,,,,,,6,,,,
ドロップ,武器,カッパーロッド,黒魔道士,4,151,200,3,,,,,,,6,,,,,
ドロップ,武器,カッパーソード,赤魔道士,4,151,200,7,,,2,,,,2,2,,,,
ドロップ,武器,カッパーダガー,シーフ,4,151,200,6,,,,4,,2,,,,,,
ドロップ,鎧,カッパーメイル,重量,4,151,200,,70,,,,5,,,,,,,
ドロップ,脚,カッパーサブリガ,重量,4,151,200,,40,,,,3,,,,,,,
ドロップ,鎧,カッパーローブ,魔道士,4,151,200,,35,15,,,,,2,2,,,,
ドロップ,脚,カッパースロップス,魔道士,4,151,200,,20,10,,,,2,,2,,,,
ドロップ,鎧,カッパーベスト,軽量,4,151,200,,50,,,2,4,,,,,,,
ドロップ,脚,カッパートラウザ,軽量,4,151,200,,30,,,2,,3,,,,,,
ドロップ,アクセサリ,カッパーリング,全ジョブ,4,151,200,,20,10,2,2,2,2,2,2,,,,
ドロップ,武器,レザーアクス,戦士,5,201,250,9,,,4,,,,,,,,,
ドロップ,武器,レザーナックル,モンク,5,201,250,6,,,3,,2,,,,,,,
ドロップ,武器,レザーポール,白魔道士,5,201,250,4,,,,,,,,6,,,,
ドロップ,武器,レザーロッド,黒魔道士,5,201,250,3,,,,,,,6,,,,,
ドロップ,武器,レザーソード,赤魔道士,5,201,250,7,,,2,,,,2,2,,,,
ドロップ,武器,レザーダガー,シーフ,5,201,250,6,,,,4,,2,,,,,,
ドロップ,鎧,レザーメイル,重量,5,201,250,,70,,,,5,,,,,,,
ドロップ,脚,レザーサブリガ,重量,5,201,250,,40,,,,3,,,,,,,
ドロップ,鎧,レザーローブ,魔道士,5,201,250,,35,15,,,,,2,2,,,,
ドロップ,脚,レザースロップス,魔道士,5,201,250,,20,10,,,,2,,2,,,,
ドロップ,鎧,レザーベスト,軽量,5,201,250,,50,,,2,4,,,,,,,
ドロップ,脚,レザートラウザ,軽量,5,201,250,,30,,,2,,3,,,,,,
ドロップ,アクセサリ,レザーリング,全ジョブ,5,201,250,,20,10,2,2,2,2,2,2,,,,
ドロップ,武器,アイアンアクス,戦士,6,251,300,9,,,4,,,,,,,,,
ドロップ,武器,アイアンナックル,モンク,6,251,300,6,,,3,,2,,,,,,,
ドロップ,武器,アイアンポール,白魔道士,6,251,300,4,,,,,,,,6,,,,
ドロップ,武器,アイアンロッド,黒魔道士,6,251,300,3,,,,,,,6,,,,,
ドロップ,武器,アイアンソード,赤魔道士,6,251,300,7,,,2,,,,2,2,,,,
ドロップ,武器,アイアンダガー,シーフ,6,251,300,6,,,,4,,2,,,,,,
ドロップ,鎧,アイアンメイル,重量,6,251,300,,70,,,,5,,,,,,,
ドロップ,脚,アイアンサブリガ,重量,6,251,300,,40,,,,3,,,,,,,
ドロップ,鎧,アイアンローブ,魔道士,6,251,300,,35,15,,,,,2,2,,,,
ドロップ,脚,アイアンスロップス,魔道士,6,251,300,,20,10,,,,2,,2,,,,
ドロップ,鎧,アイアンベスト,軽量,6,251,300,,50,,,2,4,,,,,,,
ドロップ,脚,アイアントラウザ,軽量,6,251,300,,30,,,2,,3,,,,,,
ドロップ,アクセサリ,アイアンリング,全ジョブ,6,251,300,,20,10,2,2,2,2,2,2,,,,
ドロップ,武器,スチールアクス,戦士,7,301,350,9,,,4,,,,,,,,,
ドロップ,武器,スチールナックル,モンク,7,301,350,6,,,3,,2,,,,,,,
ドロップ,武器,スチールポール,白魔道士,7,301,350,4,,,,,,,,6,,,,
ドロップ,武器,スチールロッド,黒魔道士,7,301,350,3,,,,,,,6,,,,,
ドロップ,武器,スチールソード,赤魔道士,7,301,350,7,,,2,,,,2,2,,,,
ドロップ,武器,スチールダガー,シーフ,7,301,350,6,,,,4,,2,,,,,,
ドロップ,鎧,スチールメイル,重量,7,301,350,,70,,,,5,,,,,,,
ドロップ,脚,スチールサブリガ,重量,7,301,350,,40,,,,3,,,,,,,
ドロップ,鎧,スチールローブ,魔道士,7,301,350,,35,15,,,,,2,2,,,,
ドロップ,脚,スチールスロップス,魔道士,7,301,350,,20,10,,,,2,,2,,,,
ドロップ,鎧,スチールベスト,軽量,7,301,350,,50,,,2,4,,,,,,,
ドロップ,脚,スチールトラウザ,軽量,7,301,350,,30,,,2,,3,,,,,,
ドロップ,アクセサリ,スチールリング,全ジョブ,7,301,350,,20,10,2,2,2,2,2,2,,,,
ドロップ,武器,シルバーアクス,戦士,8,351,400,9,,,4,,,,,,,,,
ドロップ,武器,シルバーナックル,モンク,8,351,400,6,,,3,,2,,,,,,,
ドロップ,武器,シルバーポール,白魔道士,8,351,400,4,,,,,,,,6,,,,
ドロップ,武器,シルバーロッド,黒魔道士,8,351,400,3,,,,,,,6,,,,,
ドロップ,武器,シルバーソード,赤魔道士,8,351,400,7,,,2,,,,2,2,,,,
ドロップ,武器,シルバーダガー,シーフ,8,351,400,6,,,,4,,2,,,,,,
ドロップ,鎧,シルバーメイル,重量,8,351,400,,70,,,,5,,,,,,,
ドロップ,脚,シルバーサブリガ,重量,8,351,400,,40,,,,3,,,,,,,
ドロップ,鎧,シルバーローブ,魔道士,8,351,400,,35,15,,,,,2,2,,,,
ドロップ,脚,シルバースロップス,魔道士,8,351,400,,20,10,,,,2,,2,,,,
ドロップ,鎧,シルバーベスト,軽量,8,351,400,,50,,,2,4,,,,,,,
ドロップ,脚,シルバートラウザ,軽量,8,351,400,,30,,,2,,3,,,,,,
ドロップ,アクセサリ,シルバーリング,全ジョブ,8,351,400,,20,10,2,2,2,2,2,2,,,,
ドロップ,武器,ミスリルアクス,戦士,9,401,450,9,,,4,,,,,,,,,
ドロップ,武器,ミスリルナックル,モンク,9,401,450,6,,,3,,2,,,,,,,
ドロップ,武器,ミスリルポール,白魔道士,9,401,450,4,,,,,,,,6,,,,
ドロップ,武器,ミスリルロッド,黒魔道士,9,401,450,3,,,,,,,6,,,,,
ドロップ,武器,ミスリルソード,赤魔道士,9,401,450,7,,,2,,,,2,2,,,,
ドロップ,武器,ミスリルダガー,シーフ,9,401,450,6,,,,4,,2,,,,,,
ドロップ,鎧,ミスリルメイル,重量,9,401,450,,70,,,,5,,,,,,,
ドロップ,脚,ミスリルサブリガ,重量,9,401,450,,40,,,,3,,,,,,,
ドロップ,鎧,ミスリルローブ,魔道士,9,401,450,,35,15,,,,,2,2,,,,
ドロップ,脚,ミスリルスロップス,魔道士,9,401,450,,20,10,,,,2,,2,,,,
ドロップ,鎧,ミスリルベスト,軽量,9,401,450,,50,,,2,4,,,,,,,
ドロップ,脚,ミスリルトラウザ,軽量,9,401,450,,30,,,2,,3,,,,,,
ドロップ,アクセサリ,ミスリルリング,全ジョブ,9,401,450,,20,10,2,2,2,2,2,2,,,,
ドロップ,武器,ゴールドアクス,戦士,10,451,500,9,,,4,,,,,,,,,
ドロップ,武器,ゴールドナックル,モンク,10,451,500,6,,,3,,2,,,,,,,
ドロップ,武器,ゴールドポール,白魔道士,10,451,500,4,,,,,,,,6,,,,
ドロップ,武器,ゴールドロッド,黒魔道士,10,451,500,3,,,,,,,6,,,,,
ドロップ,武器,ゴールドソード,赤魔道士,10,451,500,7,,,2,,,,2,2,,,,
ドロップ,武器,ゴールドダガー,シーフ,10,451,500,6,,,,4,,2,,,,,,
ドロップ,鎧,ゴールドメイル,重量,10,451,500,,70,,,,5,,,,,,,
ドロップ,脚,ゴールドサブリガ,重量,10,451,500,,40,,,,3,,,,,,,
ドロップ,鎧,ゴールドローブ,魔道士,10,451,500,,35,15,,,,,2,2,,,,
ドロップ,脚,ゴールドスロップス,魔道士,10,451,500,,20,10,,,,2,,2,,,,
ドロップ,鎧,ゴールドベスト,軽量,10,451,500,,50,,,2,4,,,,,,,
ドロップ,脚,ゴールドトラウザ,軽量,10,451,500,,30,,,2,,3,,,,,,
ドロップ,アクセサリ,ゴールドリング,全ジョブ,10,451,500,,20,10,2,2,2,2,2,2,,,,
ドロップ,武器,プラチナアクス,戦士,11,501,550,9,,,4,,,,,,,,,
ドロップ,武器,プラチナナックル,モンク,11,501,550,6,,,3,,2,,,,,,,
ドロップ,武器,プラチナポール,白魔道士,11,501,550,4,,,,,,,,6,,,,
ドロップ,武器,プラチナロッド,黒魔道士,11,501,550,3,,,,,,,6,,,,,
ドロップ,武器,プラチナソード,赤魔道士,11,501,550,7,,,2,,,,2,2,,,,
ドロップ,武器,プラチナダガー,シーフ,11,501,550,6,,,,4,,2,,,,,,
ドロップ,鎧,プラチナメイル,重量,11,501,550,,70,,,,5,,,,,,,
ドロップ,脚,プラチナサブリガ,重量,11,501,550,,40,,,,3,,,,,,,
ドロップ,鎧,プラチナローブ,魔道士,11,501,550,,35,15,,,,,2,2,,,,
ドロップ,脚,プラチナスロップス,魔道士,11,501,550,,20,10,,,,2,,2,,,,
ドロップ,鎧,プラチナベスト,軽量,11,501,550,,50,,,2,4,,,,,,,
ドロップ,脚,プラチナトラウザ,軽量,11,501,550,,30,,,2,,3,,,,,,
ドロップ,アクセサリ,プラチナリング,全ジョブ,11,501,550,,20,10,2,2,2,2,2,2,,,,
ドロップ,武器,ダークスチールアクス,戦士,12,551,600,9,,,4,,,,,,,,,
ドロップ,武器,ダークスチールナックル,モンク,12,551,600,6,,,3,,2,,,,,,,
ドロップ,武器,ダークスチールポール,白魔道士,12,551,600,4,,,,,,,,6,,,,
ドロップ,武器,ダークスチールロッド,黒魔道士,12,551,600,3,,,,,,,6,,,,,
ドロップ,武器,ダークスチールソード,赤魔道士,12,551,600,7,,,2,,,,2,2,,,,
ドロップ,武器,ダークスチールダガー,シーフ,12,551,600,6,,,,4,,2,,,,,,
ドロップ,鎧,ダークスチールメイル,重量,12,551,600,,70,,,,5,,,,,,,
ドロップ,脚,ダークスチールサブリガ,重量,12,551,600,,40,,,,3,,,,,,,
ドロップ,鎧,ダークスチールローブ,魔道士,12,551,600,,35,15,,,,,2,2,,,,
ドロップ,脚,ダークスチールスロップス,魔道士,12,551,600,,20,10,,,,2,,2,,,,
ドロップ,鎧,ダークスチールベスト,軽量,12,551,600,,50,,,2,4,,,,,,,
ドロップ,脚,ダークスチールトラウザ,軽量,12,551,600,,30,,,2,,3,,,,,,
ドロップ,アクセサリ,ダークスチールリング,全ジョブ,12,551,600,,20,10,2,2,2,2,2,2,,,,
ドロップ,武器,ダマスカスアクス,戦士,13,601,650,9,,,4,,,,,,,,,
ドロップ,武器,ダマスカスナックル,モンク,13,601,650,6,,,3,,2,,,,,,,
ドロップ,武器,ダマスカスポール,白魔道士,13,601,650,4,,,,,,,,6,,,,
ドロップ,武器,ダマスカスロッド,黒魔道士,13,601,650,3,,,,,,,6,,,,,
ドロップ,武器,ダマスカスソード,赤魔道士,13,601,650,7,,,2,,,,2,2,,,,
ドロップ,武器,ダマスカスダガー,シーフ,13,601,650,6,,,,4,,2,,,,,,
ドロップ,鎧,ダマスカスメイル,重量,13,601,650,,70,,,,5,,,,,,,
ドロップ,脚,ダマスカスサブリガ,重量,13,601,650,,40,,,,3,,,,,,,
ドロップ,鎧,ダマスカスローブ,魔道士,13,601,650,,35,15,,,,,2,2,,,,
ドロップ,脚,ダマスカススロップス,魔道士,13,601,650,,20,10,,,,2,,2,,,,
ドロップ,鎧,ダマスカスベスト,軽量,13,601,650,,50,,,2,4,,,,,,,
ドロップ,脚,ダマスカストラウザ,軽量,13,601,650,,30,,,2,,3,,,,,,
ドロップ,アクセサリ,ダマスカスリング,全ジョブ,13,601,650,,20,10,2,2,2,2,2,2,,,,
ドロップ,武器,アダマンアクス,戦士,14,651,700,9,,,4,,,,,,,,,
ドロップ,武器,アダマンナックル,モンク,14,651,700,6,,,3,,2,,,,,,,
ドロップ,武器,アダマンポール,白魔道士,14,651,700,4,,,,,,,,6,,,,
ドロップ,武器,アダマンロッド,黒魔道士,14,651,700,3,,,,,,,6,,,,,
ドロップ,武器,アダマンソード,赤魔道士,14,651,700,7,,,2,,,,2,2,,,,
ドロップ,武器,アダマンダガー,シーフ,14,651,700,6,,,,4,,2,,,,,,
ドロップ,鎧,アダマンメイル,重量,14,651,700,,70,,,,5,,,,,,,
ドロップ,脚,アダマンサブリガ,重量,14,651,700,,40,,,,3,,,,,,,
ドロップ,鎧,アダマンローブ,魔道士,14,651,700,,35,15,,,,,2,2,,,,
ドロップ,脚,アダマンスロップス,魔道士,14,651,700,,20,10,,,,2,,2,,,,
ドロップ,鎧,アダマンベスト,軽量,14,651,700,,50,,,2,4,,,,,,,
ドロップ,脚,アダマントラウザ,軽量,14,651,700,,30,,,2,,3,,,,,,
ドロップ,アクセサリ,アダマンリング,全ジョブ,14,651,700,,20,10,2,2,2,2,2,2,,,,
ドロップ,武器,オリハルコンアクス,戦士,15,701,750,9,,,4,,,,,,,,,
ドロップ,武器,オリハルコンナックル,モンク,15,701,750,6,,,3,,2,,,,,,,
ドロップ,武器,オリハルコンポール,白魔道士,15,701,750,4,,,,,,,,6,,,,
ドロップ,武器,オリハルコンロッド,黒魔道士,15,701,750,3,,,,,,,6,,,,,
ドロップ,武器,オリハルコンソード,赤魔道士,15,701,750,7,,,2,,,,2,2,,,,
ドロップ,武器,オリハルコンダガー,シーフ,15,701,750,6,,,,4,,2,,,,,,
ドロップ,鎧,オリハルコンメイル,重量,15,701,750,,70,,,,5,,,,,,,
ドロップ,脚,オリハルコンサブリガ,重量,15,701,750,,40,,,,3,,,,,,,
ドロップ,鎧,オリハルコンローブ,魔道士,15,701,750,,35,15,,,,,2,2,,,,
ドロップ,脚,オリハルコンスロップス,魔道士,15,701,750,,20,10,,,,2,,2,,,,
ドロップ,鎧,オリハルコンベスト,軽量,15,701,750,,50,,,2,4,,,,,,,
ドロップ,脚,オリハルコントラウザ,軽量,15,701,750,,30,,,2,,3,,,,,,
ドロップ,アクセサリ,オリハルコンリング,全ジョブ,15,701,750,,20,10,2,2,2,2,2,2,,,,
ドロップ,武器,ウーツアクス,戦士,16,751,800,9,,,4,,,,,,,,,
ドロップ,武器,ウーツナックル,モンク,16,751,800,6,,,3,,2,,,,,,,
ドロップ,武器,ウーツポール,白魔道士,16,751,800,4,,,,,,,,6,,,,
ドロップ,武器,ウーツロッド,黒魔道士,16,751,800,3,,,,,,,6,,,,,
ドロップ,武器,ウーツソード,赤魔道士,16,751,800,7,,,2,,,,2,2,,,,
ドロップ,武器,ウーツダガー,シーフ,16,751,800,6,,,,4,,2,,,,,,
ドロップ,鎧,ウーツメイル,重量,16,751,800,,70,,,,5,,,,,,,
ドロップ,脚,ウーツサブリガ,重量,16,751,800,,40,,,,3,,,,,,,
ドロップ,鎧,ウーツローブ,魔道士,16,751,800,,35,15,,,,,2,2,,,,
ドロップ,脚,ウーツスロップス,魔道士,16,751,800,,20,10,,,,2,,2,,,,
ドロップ,鎧,ウーツベスト,軽量,16,751,800,,50,,,2,4,,,,,,,
ドロップ,脚,ウーツトラウザ,軽量,16,751,800,,30,,,2,,3,,,,,,
ドロップ,アクセサリ,ウーツリング,全ジョブ,16,751,800,,20,10,2,2,2,2,2,2,,,,
ドロップ,武器,コーラルアクス,戦士,17,801,850,9,,,4,,,,,,,,,
ドロップ,武器,コーラルナックル,モンク,17,801,850,6,,,3,,2,,,,,,,
ドロップ,武器,コーラルポール,白魔道士,17,801,850,4,,,,,,,,6,,,,
ドロップ,武器,コーラルロッド,黒魔道士,17,801,850,3,,,,,,,6,,,,,
ドロップ,武器,コーラルソード,赤魔道士,17,801,850,7,,,2,,,,2,2,,,,
ドロップ,武器,コーラルダガー,シーフ,17,801,850,6,,,,4,,2,,,,,,
ドロップ,鎧,コーラルメイル,重量,17,801,850,,70,,,,5,,,,,,,
ドロップ,脚,コーラルサブリガ,重量,17,801,850,,40,,,,3,,,,,,,
ドロップ,鎧,コーラルローブ,魔道士,17,801,850,,35,15,,,,,2,2,,,,
ドロップ,脚,コーラルスロップス,魔道士,17,801,850,,20,10,,,,2,,2,,,,
ドロップ,鎧,コーラルベスト,軽量,17,801,850,,50,,,2,4,,,,,,,
ドロップ,脚,コーラルトラウザ,軽量,17,801,850,,30,,,2,,3,,,,,,
ドロップ,アクセサリ,コーラルリング,全ジョブ,17,801,850,,20,10,2,2,2,2,2,2,,,,
ドロップ,武器,スケイルアクス,戦士,18,851,900,9,,,4,,,,,,,,,
ドロップ,武器,スケイルナックル,モンク,18,851,900,6,,,3,,2,,,,,,,
ドロップ,武器,スケイルポール,白魔道士,18,851,900,4,,,,,,,,6,,,,
ドロップ,武器,スケイルロッド,黒魔道士,18,851,900,3,,,,,,,6,,,,,
ドロップ,武器,スケイルソード,赤魔道士,18,851,900,7,,,2,,,,2,2,,,,
ドロップ,武器,スケイルダガー,シーフ,18,851,900,6,,,,4,,2,,,,,,
ドロップ,鎧,スケイルメイル,重量,18,851,900,,70,,,,5,,,,,,,
ドロップ,脚,スケイルサブリガ,重量,18,851,900,,40,,,,3,,,,,,,
ドロップ,鎧,スケイルローブ,魔道士,18,851,900,,35,15,,,,,2,2,,,,
ドロップ,脚,スケイルスロップス,魔道士,18,851,900,,20,10,,,,2,,2,,,,
ドロップ,鎧,スケイルベスト,軽量,18,851,900,,50,,,2,4,,,,,,,
ドロップ,脚,スケイルトラウザ,軽量,18,851,900,,30,,,2,,3,,,,,,
ドロップ,アクセサリ,スケイルリング,全ジョブ,18,851,900,,20,10,2,2,2,2,2,2,,,,
ドロップ,武器,ボーンアクス,戦士,19,901,950,9,,,4,,,,,,,,,
ドロップ,武器,ボーンナックル,モンク,19,901,950,6,,,3,,2,,,,,,,
ドロップ,武器,ボーンポール,白魔道士,19,901,950,4,,,,,,,,6,,,,
ドロップ,武器,ボーンロッド,黒魔道士,19,901,950,3,,,,,,,6,,,,,
ドロップ,武器,ボーンソード,赤魔道士,19,901,950,7,,,2,,,,2,2,,,,
ドロップ,武器,ボーンダガー,シーフ,19,901,950,6,,,,4,,2,,,,,,
ドロップ,鎧,ボーンメイル,重量,19,901,950,,70,,,,5,,,,,,,
ドロップ,脚,ボーンサブリガ,重量,19,901,950,,40,,,,3,,,,,,,
ドロップ,鎧,ボーンローブ,魔道士,19,901,950,,35,15,,,,,2,2,,,,
ドロップ,脚,ボーンスロップス,魔道士,19,901,950,,20,10,,,,2,,2,,,,
ドロップ,鎧,ボーンベスト,軽量,19,901,950,,50,,,2,4,,,,,,,
ドロップ,脚,ボーントラウザ,軽量,19,901,950,,30,,,2,,3,,,,,,
ドロップ,アクセサリ,ボーンリング,全ジョブ,19,901,950,,20,10,2,2,2,2,2,2,,,,
ドロップ,武器,シェルアクス,戦士,20,951,1000,9,,,4,,,,,,,,,
ドロップ,武器,シェルナックル,モンク,20,951,1000,6,,,3,,2,,,,,,,
ドロップ,武器,シェルポール,白魔道士,20,951,1000,4,,,,,,,,6,,,,
ドロップ,武器,シェルロッド,黒魔道士,20,951,1000,3,,,,,,,6,,,,,
ドロップ,武器,シェルソード,赤魔道士,20,951,1000,7,,,2,,,,2,2,,,,
ドロップ,武器,シェルダガー,シーフ,20,951,1000,6,,,,4,,2,,,,,,
ドロップ,鎧,シェルメイル,重量,20,951,1000,,70,,,,5,,,,,,,
ドロップ,脚,シェルサブリガ,重量,20,951,1000,,40,,,,3,,,,,,,
ドロップ,鎧,シェルローブ,魔道士,20,951,1000,,35,15,,,,,2,2,,,,
ドロップ,脚,シェルスロップス,魔道士,20,951,1000,,20,10,,,,2,,2,,,,
ドロップ,鎧,シェルベスト,軽量,20,951,1000,,50,,,2,4,,,,,,,
ドロップ,脚,シェルトラウザ,軽量,20,951,1000,,30,,,2,,3,,,,,,
ドロップ,アクセサリ,シェルリング,全ジョブ,20,951,1000,,20,10,2,2,2,2,2,2,,,,
ドロップ,武器,ヴァイキングアクス,戦士,21,1001,1050,9,,,4,,,,,,,,,
ドロップ,武器,ヴァイキングナックル,モンク,21,1001,1050,6,,,3,,2,,,,,,,
ドロップ,武器,ヴァイキングポール,白魔道士,21,1001,1050,4,,,,,,,,6,,,,
ドロップ,武器,ヴァイキングロッド,黒魔道士,21,1001,1050,3,,,,,,,6,,,,,
ドロップ,武器,ヴァイキングソード,赤魔道士,21,1001,1050,7,,,2,,,,2,2,,,,
ドロップ,武器,ヴァイキングダガー,シーフ,21,1001,1050,6,,,,4,,2,,,,,,
ドロップ,鎧,ヴァイキングメイル,重量,21,1001,1050,,70,,,,5,,,,,,,
ドロップ,脚,ヴァイキングサブリガ,重量,21,1001,1050,,40,,,,3,,,,,,,
ドロップ,鎧,ヴァイキングローブ,魔道士,21,1001,1050,,35,15,,,,,2,2,,,,
ドロップ,脚,ヴァイキングスロップス,魔道士,21,1001,1050,,20,10,,,,2,,2,,,,
ドロップ,鎧,ヴァイキングベスト,軽量,21,1001,1050,,50,,,2,4,,,,,,,
ドロップ,脚,ヴァイキングトラウザ,軽量,21,1001,1050,,30,,,2,,3,,,,,,
ドロップ,アクセサリ,ヴァイキングリング,全ジョブ,21,1001,1050,,20,10,2,2,2,2,2,2,,,,
ドロップ,武器,バルバロイアクス,戦士,22,1051,1100,9,,,4,,,,,,,,,
ドロップ,武器,バルバロイナックル,モンク,22,1051,1100,6,,,3,,2,,,,,,,
ドロップ,武器,バルバロイポール,白魔道士,22,1051,1100,4,,,,,,,,6,,,,
ドロップ,武器,バルバロイロッド,黒魔道士,22,1051,1100,3,,,,,,,6,,,,,
ドロップ,武器,バルバロイソード,赤魔道士,22,1051,1100,7,,,2,,,,2,2,,,,
ドロップ,武器,バルバロイダガー,シーフ,22,1051,1100,6,,,,4,,2,,,,,,
ドロップ,鎧,バルバロイメイル,重量,22,1051,1100,,70,,,,5,,,,,,,
ドロップ,脚,バルバロイサブリガ,重量,22,1051,1100,,40,,,,3,,,,,,,
ドロップ,鎧,バルバロイローブ,魔道士,22,1051,1100,,35,15,,,,,2,2,,,,
ドロップ,脚,バルバロイスロップス,魔道士,22,1051,1100,,20,10,,,,2,,2,,,,
ドロップ,鎧,バルバロイベスト,軽量,22,1051,1100,,50,,,2,4,,,,,,,
ドロップ,脚,バルバロイトラウザ,軽量,22,1051,1100,,30,,,2,,3,,,,,,
ドロップ,アクセサリ,バルバロイリング,全ジョブ,22,1051,1100,,20,10,2,2,2,2,2,2,,,,
ドロップ,武器,ミリタリーアクス,戦士,23,1101,1150,9,,,4,,,,,,,,,
ドロップ,武器,ミリタリーナックル,モンク,23,1101,1150,6,,,3,,2,,,,,,,
ドロップ,武器,ミリタリーポール,白魔道士,23,1101,1150,4,,,,,,,,6,,,,
ドロップ,武器,ミリタリーロッド,黒魔道士,23,1101,1150,3,,,,,,,6,,,,,
ドロップ,武器,ミリタリーソード,赤魔道士,23,1101,1150,7,,,2,,,,2,2,,,,
ドロップ,武器,ミリタリーダガー,シーフ,23,1101,1150,6,,,,4,,2,,,,,,
ドロップ,鎧,ミリタリーメイル,重量,23,1101,1150,,70,,,,5,,,,,,,
ドロップ,脚,ミリタリーサブリガ,重量,23,1101,1150,,40,,,,3,,,,,,,
ドロップ,鎧,ミリタリーローブ,魔道士,23,1101,1150,,35,15,,,,,2,2,,,,
ドロップ,脚,ミリタリースロップス,魔道士,23,1101,1150,,20,10,,,,2,,2,,,,
ドロップ,鎧,ミリタリーベスト,軽量,23,1101,1150,,50,,,2,4,,,,,,,
ドロップ,脚,ミリタリートラウザ,軽量,23,1101,1150,,30,,,2,,3,,,,,,
ドロップ,アクセサリ,ミリタリーリング,全ジョブ,23,1101,1150,,20,10,2,2,2,2,2,2,,,,
ドロップ,武器,ノーブルアクス,戦士,24,1151,1200,9,,,4,,,,,,,,,
ドロップ,武器,ノーブルナックル,モンク,24,1151,1200,6,,,3,,2,,,,,,,
ドロップ,武器,ノーブルポール,白魔道士,24,1151,1200,4,,,,,,,,6,,,,
ドロップ,武器,ノーブルロッド,黒魔道士,24,1151,1200,3,,,,,,,6,,,,,
